Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-07-15 20:45:00+00:00,116556.328125,116583.8671875,116525.0234375,116549.8984375,1760608256
2025-07-15 21:00:00+00:00,116833.9375,116833.9375,116399.9296875,116552.8203125,23216128
2025-07-15 21:15:00+00:00,117134.5546875,117134.5546875,116941.5546875,116941.5546875,1508524032
2025-07-15 21:30:00+00:00,117484.203125,117515.6328125,117132.3359375,117136.4296875,350347264
2025-07-15 21:45:00+00:00,117520.171875,117537.1953125,117411.4921875,117536.75,1444216832
2025-07-15 22:00:00+00:00,117458.1484375,117546.03125,117345.0,117546.03125,1358348288
2025-07-15 22:15:00+00:00,117547.3515625,117570.6640625,117479.0703125,117492.7578125,70811648
2025-07-15 22:30:00+00:00,117725.5625,117725.5625,117310.5390625,117530.7421875,1207099392
2025-07-15 22:45:00+00:00,117845.09375,117867.0390625,117684.7421875,117744.9140625,197484544
2025-07-15 23:00:00+00:00,117802.40625,117969.4609375,117802.40625,117834.3046875,1600765952
2025-07-15 23:15:00+00:00,117622.984375,117839.265625,117611.390625,117828.3671875,0
2025-07-15 23:30:00+00:00,117752.4296875,117752.4296875,117542.15625,117605.2578125,2437062656
2025-07-15 23:45:00+00:00,117763.3828125,117775.0546875,117678.0625,117775.0546875,210690048
2025-07-16 00:00:00+00:00,117495.3359375,117780.359375,117495.3359375,117780.359375,168091648
2025-07-16 00:15:00+00:00,117604.390625,117643.078125,117469.7265625,117477.34375,437895168
2025-07-16 00:30:00+00:00,117810.375,117889.9609375,117602.109375,117602.109375,1109540864
2025-07-16 00:45:00+00:00,118115.3203125,118175.71875,117896.5390625,117896.5390625,1067958272
2025-07-16 01:00:00+00:00,117937.28125,118193.09375,117937.28125,118123.1015625,754802688
2025-07-16 01:15:00+00:00,117663.203125,117917.4609375,117663.203125,117917.4609375,0
2025-07-16 01:30:00+00:00,117702.6640625,117753.125,117663.859375,117705.7109375,764207104
2025-07-16 01:45:00+00:00,117748.4765625,117748.4765625,117621.8984375,117684.796875,250593280
2025-07-16 02:00:00+00:00,117505.2890625,117739.3515625,117494.0703125,117739.3515625,905240576
2025-07-16 02:15:00+00:00,117362.1953125,117515.9140625,117302.171875,117512.7265625,0
2025-07-16 02:30:00+00:00,117134.765625,117397.2734375,117107.640625,117397.2734375,765411328
2025-07-16 02:45:00+00:00,117289.0703125,117312.9140625,117140.6796875,117142.375,1409974272
2025-07-16 03:00:00+00:00,117259.1171875,117477.28125,117259.1171875,117333.3125,599916544
2025-07-16 03:15:00+00:00,117362.84375,117479.890625,117263.5078125,117263.5078125,860151808
2025-07-16 03:30:00+00:00,117469.140625,117475.2109375,117403.640625,117403.640625,967786496
2025-07-16 03:45:00+00:00,117493.4140625,117510.53125,117428.203125,117477.3515625,2000273408
2025-07-16 04:00:00+00:00,117321.28125,117496.40625,117321.28125,117496.40625,661725184
2025-07-16 04:15:00+00:00,117513.9453125,117513.9453125,117284.5859375,117284.5859375,638820352
2025-07-16 04:30:00+00:00,117635.7890625,117666.4375,117504.359375,117534.046875,0
2025-07-16 04:45:00+00:00,117624.3984375,117624.3984375,117556.765625,117587.265625,1268711424
2025-07-16 05:00:00+00:00,117975.71875,117975.71875,117668.296875,117668.296875,128188416
2025-07-16 05:15:00+00:00,117843.390625,117992.203125,117815.9375,117992.203125,965574656
2025-07-16 05:30:00+00:00,117958.1171875,118029.96875,117832.9609375,117832.9609375,5087232
2025-07-16 05:45:00+00:00,117879.7578125,118009.1640625,117831.2109375,117974.6875,1135132672
2025-07-16 06:00:00+00:00,117833.34375,117881.5078125,117814.0390625,117881.5078125,989069312
2025-07-16 06:15:00+00:00,118052.21875,118052.21875,117792.9140625,117800.953125,118013952
2025-07-16 06:30:00+00:00,118278.0625,118278.0625,118017.9453125,118051.8515625,1637416960
2025-07-16 06:45:00+00:00,118279.6796875,118305.8515625,118247.5625,118273.2578125,1003831296
2025-07-16 07:00:00+00:00,118094.5234375,118304.8203125,118083.71875,118279.53125,884498432
2025-07-16 07:15:00+00:00,118257.3984375,118270.4375,118080.5625,118080.5625,1096400896
2025-07-16 07:30:00+00:00,118256.6328125,118306.0,118229.203125,118250.796875,784072704
2025-07-16 07:45:00+00:00,118178.3515625,118236.6484375,118166.5703125,118236.6484375,1498054656
2025-07-16 08:00:00+00:00,118188.125,118267.8828125,118188.125,118222.5234375,0
2025-07-16 08:15:00+00:00,118239.796875,118264.6875,118165.625,118191.6328125,1876205568
2025-07-16 08:30:00+00:00,118752.671875,118752.671875,118251.5390625,118251.5390625,1589370880
2025-07-16 08:45:00+00:00,118709.171875,118754.2265625,118707.0859375,118754.2265625,1343897600
2025-07-16 09:00:00+00:00,119018.96875,119018.96875,118706.7578125,118706.7578125,783147008
2025-07-16 09:15:00+00:00,119159.453125,119159.453125,118986.671875,119007.0625,0
2025-07-16 09:30:00+00:00,118927.4921875,119193.1875,118927.4921875,119163.328125,2091581440
2025-07-16 09:45:00+00:00,119121.046875,119178.9375,118837.953125,118853.84375,1233362944
2025-07-16 10:00:00+00:00,119255.4765625,119255.4765625,119154.1953125,119175.6171875,1068687360
2025-07-16 10:15:00+00:00,119202.8359375,119294.4765625,119178.328125,119219.9375,726556672
2025-07-16 10:30:00+00:00,118860.984375,119194.0,118860.984375,119194.0,963403776
2025-07-16 10:45:00+00:00,118762.875,118911.84375,118762.875,118861.1484375,3815612416
2025-07-16 11:00:00+00:00,118907.3671875,118907.3671875,118702.078125,118787.890625,859439104
2025-07-16 11:15:00+00:00,118866.7421875,118898.2890625,118828.84375,118898.2890625,1950269440
2025-07-16 11:30:00+00:00,118859.9921875,118906.328125,118838.921875,118906.328125,945881088
2025-07-16 11:45:00+00:00,118765.2578125,118910.953125,118765.2578125,118865.25,0
2025-07-16 12:00:00+00:00,118887.1015625,118895.4296875,118751.1015625,118778.8984375,138223616
2025-07-16 12:15:00+00:00,118899.2890625,118899.2890625,118821.3984375,118884.046875,2060378112
2025-07-16 12:30:00+00:00,118943.4921875,119042.1796875,118737.5625,118906.0234375,663216128
2025-07-16 12:45:00+00:00,118659.734375,119013.0,118659.734375,118989.921875,768622592
2025-07-16 13:00:00+00:00,118718.4921875,118718.4921875,118480.5546875,118662.765625,0
2025-07-16 13:15:00+00:00,118796.5,118830.1796875,118745.8828125,118745.8828125,89882624
2025-07-16 13:30:00+00:00,118318.8828125,118916.8359375,118318.8828125,118824.71875,1058668544
2025-07-16 13:45:00+00:00,118732.8359375,118732.8359375,118302.0,118372.5546875,0
2025-07-16 14:00:00+00:00,118460.2109375,118725.8828125,118460.2109375,118724.375,2736291840
2025-07-16 14:15:00+00:00,118434.90625,118460.5390625,118258.3984375,118362.484375,1528201216
2025-07-16 14:30:00+00:00,118620.6875,118620.6875,118341.6875,118447.7109375,878796800
2025-07-16 14:45:00+00:00,119061.125,119180.7734375,118632.5703125,118632.5703125,15433728
2025-07-16 15:00:00+00:00,119269.21875,119764.0703125,119048.296875,119048.296875,549896192
2025-07-16 15:15:00+00:00,119485.609375,119494.71875,119093.8671875,119201.7109375,1617166336
2025-07-16 15:30:00+00:00,119006.7578125,119566.09375,118540.9140625,119566.09375,2437349376
2025-07-16 15:45:00+00:00,119096.1484375,119332.296875,119021.1640625,119021.1640625,1603526656
2025-07-16 16:00:00+00:00,118786.640625,119154.46875,118568.6015625,119154.46875,0
2025-07-16 16:15:00+00:00,119195.171875,119227.8359375,118826.078125,118826.078125,88211456
2025-07-16 16:30:00+00:00,119194.75,119310.421875,119088.5078125,119229.9375,2980618240
2025-07-16 16:45:00+00:00,119312.9140625,119312.9140625,119052.71875,119175.140625,719806464
2025-07-16 17:00:00+00:00,119281.359375,119409.109375,119266.671875,119343.46875,24174592
2025-07-16 17:15:00+00:00,119680.7734375,119680.7734375,119293.734375,119293.734375,90030080
2025-07-16 17:30:00+00:00,119386.5625,119696.3984375,119386.5625,119667.84375,1092853760
2025-07-16 17:45:00+00:00,119129.3125,119513.9140625,119051.0390625,119361.1875,1566138368
2025-07-16 18:00:00+00:00,119406.2265625,119498.4453125,119031.1640625,119107.546875,1151279104
2025-07-16 18:15:00+00:00,119251.1484375,119416.1015625,119200.84375,119404.4453125,1136386048
2025-07-16 18:30:00+00:00,119735.5625,119735.5625,119304.4140625,119304.4140625,0
2025-07-16 18:45:00+00:00,119634.7890625,119911.6796875,119525.640625,119760.09375,1444044800
2025-07-16 19:00:00+00:00,119249.2109375,119666.8203125,119249.2109375,119599.03125,1005502464
2025-07-16 19:15:00+00:00,119280.0078125,119371.671875,119229.0546875,119291.0078125,1146134528
2025-07-16 19:30:00+00:00,118999.921875,119238.4609375,118926.6640625,119238.4609375,1139884032
2025-07-16 19:45:00+00:00,119255.75,119283.046875,118980.5234375,118980.5234375,1072570368
2025-07-16 20:00:00+00:00,119204.7265625,119317.875,119117.5546875,119317.875,1052770304
2025-07-16 20:15:00+00:00,119598.125,119598.125,119264.3359375,119288.9296875,374890496
2025-07-16 20:30:00+00:00,119889.0625,119889.0625,119602.2109375,119633.25,126943232
2025-07-16 20:45:00+00:00,119877.875,119917.2265625,119626.3515625,119917.2265625,620290048
2025-07-16 21:00:00+00:00,120045.7890625,120054.640625,119900.640625,119946.0234375,1015521280
2025-07-16 21:15:00+00:00,119980.3515625,119980.3515625,119817.1953125,119826.21875,1395482624
2025-07-16 21:30:00+00:00,119508.6796875,119994.3203125,119508.6796875,119994.3203125,253673472
2025-07-16 21:45:00+00:00,119434.3125,119566.7265625,119434.3125,119459.078125,1927151616
2025-07-16 22:00:00+00:00,119381.84375,119494.9453125,119297.125,119494.9453125,1130766336
2025-07-16 22:15:00+00:00,119271.3515625,119497.640625,119271.3515625,119382.6640625,118874112
2025-07-16 22:30:00+00:00,119016.8828125,119291.9375,119016.8828125,119261.6484375,524918784
2025-07-16 22:45:00+00:00,118705.640625,119020.8515625,118673.1171875,119020.8515625,155451392
2025-07-16 23:00:00+00:00,118632.78125,118712.8359375,118607.515625,118712.8359375,2061246464
2025-07-16 23:15:00+00:00,118682.390625,118690.7578125,118483.9375,118616.5703125,392953856
2025-07-16 23:30:00+00:00,118851.9296875,118851.9296875,118676.8515625,118707.109375,168984576
2025-07-16 23:45:00+00:00,118700.6015625,118872.2421875,118700.6015625,118865.171875,3033333760
2025-07-17 00:00:00+00:00,118862.5,118862.5,118696.5703125,118722.8046875,1217003520
